Lines out:		Average voltage
151,152,1;151,152,2:			0.914515555546
151,152,2;151,152,1:			0.914515555546
201,204,1;201,202,1:			0.92009320882
201,202,1;201,204,1:			0.92009320882
151,152,1;201,204,1:			0.921711785926
201,204,1;151,152,2:			0.921711785926
151,152,2;201,204,1:			0.921711785926
201,204,1;151,152,1:			0.921711785926
201,202,1;151,152,2:			0.923269147413
201,202,1;151,152,1:			0.923269147413
151,152,2;201,202,1:			0.923269147413
151,152,1;201,202,1:			0.923269147413
152,3004,1;151,152,2:			0.932533622302
152,3004,1;151,152,1:			0.932533622302
151,152,1;152,3004,1:			0.932533622302
151,152,2;152,3004,1:			0.932533622302
201,204,1;152,3004,1:			0.937451940168
152,3004,1;201,204,1:			0.937451940168
151,152,1;154,205,1:			0.940239911887
154,205,1;151,152,1:			0.940239911887
154,205,1;151,152,2:			0.940239911887
151,152,2;154,205,1:			0.940239911887
152,3004,1;201,202,1:			0.941860318769
201,202,1;152,3004,1:			0.941860318769
154,205,1;201,202,1:			0.949171327385
201,202,1;154,205,1:			0.949171327385
151,152,1;151,201,1:			0.950035083744
151,152,2;151,201,1:			0.950035083744
151,201,1;151,152,1:			0.950035083744
151,201,1;151,152,2:			0.950035083744
3001,3003,1;151,152,1:			0.950143460907
3001,3003,1;151,152,2:			0.950143460907
151,152,1;3001,3003,1:			0.950143460907
151,152,2;3001,3003,1:			0.950143460907
151,152,1;152,202,1:			0.950954199913
151,152,2;152,202,1:			0.950954199913
152,202,1;151,152,2:			0.950954199913
152,202,1;151,152,1:			0.950954199913
154,205,1;152,3004,1:			0.955616981054
152,3004,1;154,205,1:			0.955616981054
201,204,1;3001,3003,1:			0.956888654751
3001,3003,1;201,204,1:			0.956888654751
152,202,1;201,202,1:			0.957364884089
201,202,1;152,202,1:			0.957364884089
152,202,1;201,204,1:			0.957946741106
201,204,1;152,202,1:			0.957946741106
154,205,1;201,204,1:			0.958602315752
201,204,1;154,205,1:			0.958602315752
201,204,1;151,201,1:			0.959017252831
151,201,1;201,204,1:			0.959017252831
3003,3005,1;151,152,1:			0.959228029815
151,152,2;3003,3005,2:			0.959228029815
151,152,2;3003,3005,1:			0.959228029815
151,152,1;3003,3005,1:			0.959228029815
151,152,1;3003,3005,2:			0.959228029815
3003,3005,1;151,152,2:			0.959228029815
3003,3005,2;151,152,2:			0.959228029815
3003,3005,2;151,152,1:			0.959228029815
151,201,1;201,202,1:			0.959606678562
201,202,1;151,201,1:			0.959606678562
151,152,2;3002,3004,1:			0.959715907463
3002,3004,1;151,152,2:			0.959715907463
3002,3004,1;151,152,1:			0.959715907463
151,152,1;3002,3004,1:			0.959715907463
151,152,1;3005,3007,1:			0.95989958236
3005,3007,1;151,152,1:			0.95989958236
3005,3007,1;151,152,2:			0.95989958236
151,152,2;3005,3007,1:			0.95989958236
201,202,1;3001,3003,1:			0.960785704479
3001,3003,1;201,202,1:			0.960785704479
151,152,2;3005,3008,1:			0.961334723913
3005,3008,1;151,152,2:			0.961334723913
151,152,1;3005,3008,1:			0.961334723913
3005,3008,1;151,152,1:			0.961334723913
151,201,1;152,3004,1:			0.96136729816
152,3004,1;151,201,1:			0.96136729816
154,203,1;151,152,2:			0.96159678673
154,203,1;151,152,1:			0.96159678673
151,152,2;154,203,1:			0.96159678673
151,152,1;154,203,1:			0.96159678673
151,152,2;3005,3006,1:			0.961651641823
3005,3006,1;151,152,1:			0.961651641823
3005,3006,1;151,152,2:			0.961651641823
151,152,1;3005,3006,1:			0.961651641823
151,152,1;153,3006,1:			0.961723054163
153,3006,1;151,152,2:			0.961723054163
153,3006,1;151,152,1:			0.961723054163
151,152,2;153,3006,1:			0.961723054163
203,205,2;151,152,2:			0.961739278583
203,205,1;151,152,2:			0.961739278583
203,205,1;151,152,1:			0.961739278583
203,205,2;151,152,1:			0.961739278583
151,152,1;203,205,2:			0.961739278583
151,152,1;203,205,1:			0.961739278583
151,152,2;203,205,1:			0.961739278583
151,152,2;203,205,2:			0.961739278583
3007,3008,1;151,152,1:			0.96194412579
151,152,1;3007,3008,1:			0.96194412579
151,152,2;3007,3008,1:			0.96194412579
3007,3008,1;151,152,2:			0.96194412579
153,154,2;151,152,1:			0.962928352628
153,154,2;151,152,2:			0.962928352628
151,152,1;153,154,2:			0.962928352628
151,152,2;153,154,2:			0.962928352628
154,3008,1;151,152,1:			0.963584058012
154,3008,1;151,152,2:			0.963584058012
151,152,2;154,3008,1:			0.963584058012
151,152,1;154,3008,1:			0.963584058012
153,154,1;151,152,2:			0.964070262031
153,154,1;151,152,1:			0.964070262031
151,152,1;153,154,1:			0.964070262031
151,152,2;153,154,1:			0.964070262031
152,202,1;152,3004,1:			0.96416484399
152,3004,1;152,202,1:			0.96416484399
3001,3003,1;152,3004,1:			0.964655302806
152,3004,1;3001,3003,1:			0.964655302806
201,204,1;3005,3007,1:			0.96515977312
3005,3007,1;201,204,1:			0.96515977312
3003,3005,2;201,204,1:			0.965327884803
201,204,1;3003,3005,2:			0.965327884803
201,204,1;3003,3005,1:			0.965327884803
3003,3005,1;201,204,1:			0.965327884803
3002,3004,1;201,204,1:			0.966106272139
201,204,1;3002,3004,1:			0.966106272139
153,3006,1;201,204,1:			0.966811633144
201,204,1;153,3006,1:			0.966811633144
3005,3008,1;201,204,1:			0.967147677256
