Branch:		MVA Flow
152,153,1  :			849.712451362
153,152,1  :			835.357558175
151,201,1  :			622.84551054
202,203,1  :			617.101523252
205,201,&1 :			608.087896607
201,205,&1 :			605.161903956
203,202,1  :			598.634354176
201,151,1  :			591.928120636
202,201,1  :			564.667194018
201,202,1  :			556.195379341
151,152,2  :			495.930579819
151,152,1  :			495.930579819
152,151,1  :			470.427943473
152,151,2  :			470.427943473
154,205,1  :			421.041720023
205,154,1  :			420.302950263
153,154,1  :			286.029159353
154,153,1  :			272.555058658
3005,3008,&1 :			250.414156948
153,154,2  :			236.827701082
154,153,2  :			228.223596501
152,3004,1  :			215.804541194
3004,3005,1  :			209.298948875
3001,3003,1  :			206.230211172
3005,3004,1  :			206.224149895
3003,3001,1  :			205.491848987
3004,152,1  :			154.723010571
3005,3008,1  :			140.869443102
3008,3005,1  :			140.310548427
154,203,1  :			123.027517247
203,154,1  :			122.948810486
3005,3003,2  :			103.046057664
3005,3003,1  :			103.046057664
3003,3005,2  :			102.783510351
3003,3005,1  :			102.783510351
154,3008,1  :			96.6408816185
3005,3006,1  :			91.6350369673
3006,153,1  :			90.0319943131
3006,3005,1  :			90.0319943131
153,3006,1  :			89.3242408308
202,152,1  :			82.0419404939
205,203,1  :			81.2940342215
205,203,2  :			81.2940342215
203,205,2  :			81.2219182241
203,205,1  :			81.2219182241
3008,154,1  :			79.51666492
3004,3002,1  :			57.7007798907
3001,3002,1  :			56.9956138663
3002,3004,1  :			56.9688511381
3002,3001,1  :			56.9688511381
152,202,1  :			39.8321478206
3008,3005,&1 :			33.9390630395
